,tweet_id,favorites,retweets
368,826958653328592898,21322,4913
369,826848821049180160,35892,9985
370,826615380357632002,0,3928
371,826598799820865537,5073,247
372,826598365270007810,9921,2309
373,826476773533745153,18208,4117
374,826240494070030336,13143,2569
375,826204788643753985,4823,910
376,826115272272650244,15482,3055
377,825876512159186944,10367,1836
378,825829644528148480,12617,2452
379,825535076884762624,56347,17313
380,825147591692263424,18121,4471
381,825120256414846976,0,1235
382,825026590719483904,6221,1235
383,824796380199809024,0,5428
384,824775126675836928,14750,3457
385,824663926340194305,10425,1750
386,824325613288833024,11719,10415
387,824297048279236611,14937,3808
388,824025158776213504,4780,593
389,823939628516474880,10527,2664
390,823719002937630720,0,11020
391,823699002998870016,13846,2487
392,823581115634085888,12908,2592
393,823333489516937216,696,22
394,823322678127919110,15596,3963
395,823269594223824897,0,9752
396,822975315408461824,17175,3398
397,822872901745569793,130377,42606
398,822859134160621569,13138,2239
399,822647212903690241,0,6334
400,822610361945911296,14679,2921
401,822489057087389700,17994,6334
402,822462944365645825,27719,14068
403,822244816520155136,34671,9752
404,822163064745328640,0,4696
405,821886076407029760,11231,2276
406,821813639212650496,0,3339
407,821765923262631936,8339,1634
408,821522889702862852,7971,1731
409,821421320206483457,0,5508
410,821407182352777218,11661,4287
411,821153421864615936,254,10
412,821149554670182400,8566,1946
413,821107785811234820,9525,2113
414,821044531881721856,12580,2248
415,820837357901512704,0,6646
416,820749716845686786,31333,9760
417,820690176645140481,12130,3197
418,820494788566847489,0,559
419,820446719150292993,0,2544
420,820314633777061888,3320,559
421,820078625395449857,19674,6213
422,820013781606658049,0,1163
423,819952236453363712,5293,1163
424,819924195358416896,12828,4834
425,819711362133872643,13289,3077
426,819588359383371776,9592,1975
427,819347104292290561,7176,1190
428,819238181065359361,2248,404
429,819227688460238848,22934,6646
430,819015337530290176,0,36551
431,819015331746349057,0,18817
432,819006400881917954,45055,18817
433,819004803107983360,86482,36551
434,818646164899774465,0,20769
435,818627210458333184,22271,7473
436,818614493328580609,9777,2525
437,818588835076603904,0,6061
438,818536468981415936,10814,2423
439,818307523543449600,0,7988
440,818259473185828864,10951,2236
441,818145370475810820,12179,2541
442,817908911860748288,4817,796
443,817827839487737858,51299,26820
444,817777686764523521,10690,2658
445,817536400337801217,11697,2927
446,817502432452313088,0,3355
447,817423860136083457,33589,14553
448,817415592588222464,5559,937
449,817181837579653120,0,8394
450,817171292965273600,8711,2004
451,817120970343411712,12154,2577
452,817056546584727552,8543,1630
453,816829038950027264,0,4686
454,816816676327063552,9950,2026
455,816697700272001025,9722,2160
456,816450570814898180,30270,7988
457,816336735214911488,8563,1931
458,816091915477250048,8888,2118
459,816062466425819140,0,1011
460,816014286006976512,0,5225
461,815990720817401858,4922,1011
462,815966073409433600,22286,8394
463,815745968457060357,0,4097
464,815736392542261248,9803,2244
465,815639385530101762,8193,1641
466,815390420867969024,10320,3787
467,814986499976527872,7623,1270
468,814638523311648768,11211,2679
469,814578408554463233,0,5795
470,814530161257443328,8609,1847
471,814153002265309185,28655,8612
472,813944609378369540,0,3166
473,813910438903693312,9269,1850
474,813812741911748608,36314,13887
475,813800681631023104,8286,1745
476,813217897535406080,18595,7255
477,813202720496779264,9210,1808
478,813187593374461952,19791,4325
479,813172488309972993,9239,1908
480,813157409116065792,7752,2195
481,813142292504645637,8456,2369
482,813130366689148928,4470,446
483,813127251579564032,11790,3112
484,813112105746448384,10278,2721
485,813096984823349248,10551,3613
486,813081950185472002,9867,2769
487,813066809284972545,7922,1946
488,813051746834595840,20929,7327
489,812781120811126785,7538,1896
490,812709060537683968,6596,1434
491,812503143955202048,6048,1210
492,812466873996607488,7946,1926
